,bigf,aeronet,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global
1,BARK,London-UCL-UAO,15.85647772,459,1.123188125,0.980302262,1.012862508,0.99637046,-0.217713965,1.10308802,-0.626910004,7.091351544,0,0,0,0,0,1,0,0
3,CHIO,Chilbolton,0.512869984,1794,1.311045383,0.988584148,0.940072724,0.996139477,0.68464796,1.118389188,3.568635074,7.821034597,0,0,0,0,0,1,0,0
7,OXFR,Wytham_Woods,6.695366453,1066,1.907640179,0.98803608,0.887185416,0.9966804,1.543938086,1.120948245,11.9477134,7.382029727,0,0,0,0,0,1,0,0
12,RAL2,Wytham_Woods,22.15255932,572,1.61435302,0.981579387,0.89189368,0.995663438,1.298334441,0.960247558,12.03412828,8.250456676,0,0,0,0,0,1,0,0
13,SHAM,Chilbolton,23.71913641,3142,1.472893362,0.979650435,0.958976139,0.992256499,0.306756123,1.440824852,0.251014815,11.05996516,0,0,0,0,0,1,0,0
14,SOTN,Chilbolton,23.10528052,750,1.386826687,0.975159301,0.949366617,0.994692917,0.62898704,1.236811694,3.667992166,8.959092092,0,0,0,0,0,1,0,0
15,STEE,Bayfordbury,15.02998723,522,2.024401497,0.975441194,0.909120714,0.993870068,1.318563525,1.537569712,8.199793114,9.082131865,0,0,0,0,0,1,0,0
17,STRA,London-UCL-UAO,10.01712918,272,1.066430612,0.979764919,1.001305325,0.997648117,-0.074973824,1.065752794,-0.309669636,5.156958992,0,0,0,0,0,1,0,0
20,TEDD,London-UCL-UAO,18.41121066,586,1.297333792,0.978931228,0.981555922,0.995098787,0.272967218,1.269375259,2.176093483,7.782251491,0,0,0,0,0,1,0,0
22,ADE1,Adelaide_Site_7,0.943046323,211,1.056575287,0.975921147,1.054499116,0.994258106,-0.731727251,0.76399796,-7.478861467,7.773897073,0,0,0,0,0,0,0,1
24,ASC1,Ascension_Island,2.795049862,1760,2.563002534,0.918233476,0.975700754,0.994168269,0.525872898,2.509186515,1.433432592,7.940552352,1,0,1,0,0,0,0,1
25,BHR2,Bahrain,0.1647369,354,3.183777092,0.964168889,0.868557606,0.992243667,2.569985763,1.881917722,15.43085332,10.32958872,0,0,0,0,0,0,0,1
28,BRMU,Bermuda,0.046824725,987,1.990480693,0.988102467,0.972282329,0.996784237,0.604110415,1.897554251,1.456742499,6.613669132,1,0,1,0,0,0,0,1
29,BRUS,Brussels,1.736849817,1070,1.135943846,0.99058943,0.983003606,0.995327134,-0.037877131,1.135843071,-2.552098506,9.330755942,0,0,0,0,0,0,1,1
30,BUE2,CEILAP-BA,1.93485402,1045,1.439087701,0.99026825,1.041263729,0.995449068,-0.89196088,1.129867614,-6.905872439,8.548342278,0,0,0,0,0,0,0,1
34,DAEJ,DRAGON_Kongju_NU,22.45536797,139,2.432651585,0.978425099,0.843288465,0.989884948,1.901721223,1.522473595,21.9230083,18.82608322,0,0,0,0,0,0,0,1
36,GLSV,Kyiv,0.063838949,1712,1.446709318,0.991041703,1.020208938,0.994183402,-0.758291005,1.232416237,-8.884169891,13.04840689,0,0,0,0,0,0,1,1
37,GODE,GSFC,3.431540897,2829,3.261060064,0.972335701,0.904727042,0.984252991,1.763680032,2.743466056,13.6175607,24.58224648,0,0,0,0,0,0,0,1
39,GUAM,Guam,18.99621237,283,3.285017572,0.948743694,0.954005968,0.996156249,1.707980777,2.811061117,3.834329472,6.754445929,1,0,1,0,0,0,0,1
40,HLFX,Halifax,5.239936425,1393,1.293243289,0.99000454,0.971059591,0.994035824,0.351307854,1.245059769,3.328210118,10.93923838,0,0,0,0,0,0,0,1
42,JAB1,Jabiru,0.222686684,398,2.615999939,0.984363096,0.931673048,0.996445314,1.692840879,1.996938895,5.781449801,7.111155789,0,0,0,0,0,0,0,1
44,KELY,Kangerlussuaq,14.14412497,844,1.064178538,0.970702401,1.019513222,0.989416204,-0.267753033,1.03055452,-3.609808919,17.93908952,0,1,0,1,0,0,0,1
47,MALD,MALE,0.45862827,112,4.528029619,0.962600482,0.915238435,0.997247566,3.635776429,2.711052426,8.211542531,6.23886933,1,0,1,0,0,0,0,1
50,NYA1,Ny_Alesund,0.096689718,7,1.501736301,0.627329467,1.956357377,0.947850394,-1.464412857,0.35938566,-52.50932838,12.87414719,0,0,0,1,1,0,1,1
51,NYAL,Ny_Alesund,0.092518072,6,1.824163111,-0.503071767,2.426487207,0.950213444,-1.797738333,0.338894569,-60.451285,9.603157517,0,0,0,1,1,0,1,1
52,OUS2,Dunedin,0.649878101,630,1.493418262,0.981965445,0.925831784,0.995370506,0.970378063,1.136095625,6.957300677,8.37640759,0,1,0,1,0,0,0,1
53,PERT,Perth,22.83891249,220,4.027235754,0.791921726,1.045422612,0.954616674,-1.479344045,3.754228777,-7.623125377,23.06795347,0,0,0,0,0,0,0,1
54,PIMO,Manila_Observatory,0.053296006,668,4.431748936,0.951306695,0.918600815,0.994946547,3.178085629,3.091031134,8.343111092,7.598353512,1,0,1,0,0,0,0,1
56,SCOR,Ittoqqortoormiit,0.067783254,660,0.797465016,0.992306013,0.946343866,0.9969057,0.399773667,0.690546141,2.713125624,7.617793467,0,1,0,1,0,0,0,1
59,TAH1,Tahiti,0.018037957,1751,4.783508767,0.889161257,0.918553759,0.989376068,2.747755563,3.916702251,8.363415095,15.30064749,1,0,1,0,0,0,0,1
60,THTI,Tahiti,0.024018717,2192,3.958383184,0.943087738,0.923055418,0.994108206,2.562342327,3.017839301,7.274800195,9.447894259,1,0,1,0,0,0,0,1
63,TIDB,Canberra,18.5194548,3655,2.257356372,0.95300567,0.911443343,0.982966875,0.915419953,2.063693123,6.423034344,16.92976862,0,0,0,0,0,0,0,1
64,TIXI,Tiksi,5.648012333,288,1.310943286,0.981568711,1.026126871,0.990599645,-0.675912674,1.12521579,-8.44639598,12.27881415,0,0,0,0,0,0,0,1
66,TWTF,EPA-NCU,2.622170717,753,3.634480912,0.990961557,0.912258969,0.997114651,2.640992975,2.498579257,7.289229373,7.962539751,0,0,0,1,0,0,0,1
71,YELL,Yellowknife,4.945329705,74,1.392318508,0.985472281,1.193382522,0.977328573,-1.303239459,0.493362972,-29.44486534,16.57436035,0,0,0,0,1,0,0,1
