,aeronet,radiosonde,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global,rtype,tracksys,radcorr
25,Ascension_Island,ascension island airfield,1.925901523,310,3.536019151,0.807529244,1.043108941,0.990969155,-1.57396388,3.171516351,-4.285282154,9.809526149,1,0,1,0,0,0,0,1,NA,NA,NA
38,Ulaangom,ulaan-gom,1.160273114,15,1.684202364,0.901437157,1.045013372,0.975718661,-0.536433915,1.652522831,-3.455239452,17.65526692,NA,NA,0,0,1,0,0,1,NA,NA,NA
41,Brookhaven,upton: ny.,1.898133726,115,3.226139821,0.945388478,1.032293161,0.983869874,-0.749068885,3.151705894,-2.012642121,15.23985743,NA,NA,0,0,0,0,0,1,87,8,5
42,Pickle_Lake,pickle lake:ont.,1.218111846,352,1.981725793,0.979767112,1.091657414,0.990552062,-1.112080203,1.642613778,-6.687595435,9.662246066,NA,NA,0,0,0,0,0,1,80,6,4
56,MD_Science_Center,aberdeen proving grounds: md.,24.40899893,235,2.470996004,0.973062416,0.961990307,0.985911406,0.715378332,2.370223895,6.097675359,16.7855905,NA,NA,0,0,0,0,0,1,NA,NA,NA
61,Kyiv,kyiv,6.30829185,194,2.472454101,0.967411143,0.889849829,0.985249502,1.358925783,2.070858623,9.447896637,15.59225179,0,0,0,0,0,0,1,1,16,3,3
62,Churchill,churchill:man.,14.4154854,128,1.71447808,0.963778558,1.042365011,0.985757714,-0.408080528,1.67174737,0.915753406,17.33446303,NA,NA,0,0,0,0,0,1,80,8,4
65,Cairo_University,helwan,21.39471156,63,3.732666574,0.950366992,0.739396661,0.98320418,3.496670056,1.316668517,43.13633266,21.96500248,NA,NA,0,0,1,0,0,1,NA,NA,NA
72,Perth,belmont (perth airport),10.82685252,32,4.65369727,0.572103853,0.965621023,0.919207074,0.107355522,4.726902888,5.989516024,29.5231841,0,0,0,0,1,0,0,1,NA,NA,NA
73,Kelowna,kelowna: bc.,1.482082858,455,1.482056969,0.964860482,1.013943916,0.988640169,-0.185811797,1.471981277,0.187007299,11.2128035,NA,NA,0,0,0,0,0,1,80,6,4
74,CEILAP-UTN,ezeiza aero,18.39854212,18,1.473046425,0.967062576,0.959877071,0.989476685,0.562935712,1.400702445,6.64366204,15.77718295,NA,NA,0,0,1,0,0,1,NA,NA,NA
75,New_Delhi,new delhi/ safdarjung,5.790897842,40,9.270123542,0.844391578,1.154435164,0.940516703,-5.343327276,7.67172926,-15.64388611,23.7852859,NA,NA,0,0,1,0,0,1,90,2,5
76,Okinawa,naha,19.31603222,9,2.893267346,0.958556,1.08869882,0.986173449,-1.33544279,2.722321997,-5.286300462,7.945116785,NA,NA,1,0,1,0,0,1,NA,NA,NA
82,Gosan_SNU,cheju upper/radar,1.135983319,202,3.435699219,0.967309834,1.066063712,0.969454514,-0.31050768,3.430140075,8.176440097,25.18250906,NA,NA,0,0,0,0,0,1,NA,NA,NA
84,Dunhuang,dunhuang,15.58546914,9,1.175316007,0.985327928,1.225948456,0.992618495,-1.083051779,0.484161524,-21.64624923,12.03740273,NA,NA,0,0,1,0,0,1,NA,NA,NA
87,BORDEAUX,bordeaux/merignac,10.71428606,207,1.890792921,0.969948755,0.957924499,0.990238083,0.503474719,1.826947017,2.6264541,11.27136984,NA,NA,0,0,0,0,1,1,NA,NA,NA
90,Munich_University,muenchen- oberschleissheim,11.46170028,386,1.210220574,0.989138758,1.035621479,0.994582916,-0.444619723,1.127048318,-2.747782477,9.682027634,NA,NA,0,0,0,0,1,1,NA,NA,NA
91,Kuwait_University,kuwait international airport,12.0122018,349,1.781008251,0.952333311,1.050175572,0.986969129,-0.57480793,1.688120764,-1.613156923,14.14785983,NA,NA,0,0,0,0,0,1,80,8,4
94,Taipei_CWB,taibei,1.747513342,394,7.716834483,0.930063225,1.172258141,0.985052058,-6.337539771,4.408452122,-16.55289319,13.97191491,NA,NA,0,0,0,0,0,1,NA,NA,NA
95,Munich_Maisach,muenchen- oberschleissheim,22.16689101,49,1.601274457,0.986354125,0.929319885,0.995437336,0.952919719,1.300201675,5.801110055,8.512969893,NA,NA,0,0,1,0,1,1,NA,NA,NA
98,CRYSTAL_FACE,miami: fl,11.72347731,20,3.269126573,0.869243777,1.059153001,0.997870801,-2.539623919,2.11199554,-5.509666777,4.713445023,0,0,0,0,1,0,0,1,NA,NA,NA
100,FORTH_CRETE,heraklion,9.038755309,1124,2.628633597,0.918972723,0.940350029,0.985315088,1.10077216,2.388114143,8.230814526,33.25786439,NA,NA,0,0,0,0,1,1,71,6,4
103,Chulalongkorn,bangkok,3.001079074,9,4.232798621,0.94062488,1.099653258,0.994095432,-2.989294004,3.178567872,-7.493021182,7.679590727,NA,NA,0,0,1,0,0,1,NA,NA,NA
104,Cabauw,de bilt,22.61005983,536,1.895782727,0.96103941,0.989848543,0.985489353,0.036231866,1.897207076,1.334517713,13.95953365,NA,NA,0,0,0,0,1,1,79,8,4
118,Petrolina_SONDA,petrolina,1.86757109,166,3.247948677,0.848337584,0.971746094,0.985468671,0.729817933,3.174467306,5.841373615,29.38543479,NA,NA,0,0,0,0,0,1,NA,NA,NA
119,Campo_Grande_SONDA,campo grande (aeroporto),13.81914701,482,3.356862659,0.934636469,1.034506556,0.984039483,-0.909372649,3.234698802,-2.705846411,13.50205965,NA,NA,0,0,0,0,0,1,79,8,4
121,Gwangju_GIST,kwangju ab,12.55959321,882,2.590516367,0.976056827,1.071425506,0.983453128,-0.981224329,2.398853526,-4.404058747,17.98500091,NA,NA,0,0,0,0,0,1,21,6,5
122,Thessaloniki,thessaloniki/mikra,12.65725021,757,1.984526654,0.972305083,1.003839062,0.992159473,0.018863134,1.985749029,2.100254482,10.07272342,NA,NA,0,0,0,0,1,1,NA,NA,NA
127,Chebogue_Point,yarmouth: n.s.,13.44942441,5,3.572069833,0.880389853,1.126194706,0.988067658,-2.738555509,2.564175457,-11.92009209,10.77160926,NA,NA,0,0,1,0,0,1,NA,NA,NA
128,Resolute_Bay,resolute:n.w.t.,3.047076721,250,1.0085246,0.969615253,0.963278677,0.990403797,0.363567796,0.942599758,8.015836025,45.85316897,NA,NA,0,0,0,0,0,1,80,8,4
133,Prospect_Hill,bermuda naval air station kindley,1.244818149,50,2.524462973,0.984408765,0.98337381,0.992169108,0.916187005,2.376224641,8.035282368,15.85056127,1,0,1,0,1,0,0,1,NA,NA,NA
142,Tamanrasset_INM,tamanrasset,10.02084355,483,1.448602606,0.97078276,1.100680145,0.987953035,-0.825814087,1.191393873,-7.827723686,13.15940698,NA,NA,0,0,0,0,0,1,NA,NA,NA
143,Tamanrasset_TMP,tamanrasset,10.02084355,166,1.821368884,0.959470274,1.13431425,0.98491699,-1.174878628,1.395988713,-11.66546231,15.99816401,NA,NA,0,0,0,0,0,1,NA,NA,NA
144,Tudor_Hill,bermuda naval air station kindley,21.69801548,182,2.630481142,0.976423191,1.012526245,0.993973024,-0.133878072,2.634319187,1.768687992,11.95131946,1,0,1,0,0,0,0,1,NA,NA,NA
145,Ny_Alesund,ny-alesund ii,2.079247083,6,0.226459112,0.990635684,0.898867497,0.997223314,0.215834384,0.075093927,13.24657555,5.752065845,0,0,0,1,1,0,1,1,NA,NA,NA
146,Guam,nwso agana: guam: mariana: is.,4.456276733,182,4.803952335,0.896034509,1.080121445,0.994003212,-3.397832083,3.405350454,-7.41528027,7.91999507,1,0,1,0,0,0,0,1,51,2,0
148,Niamey,niamey-aero,0.592733935,134,3.528106555,0.978801601,1.056447383,0.991385692,-1.571752155,3.170512111,-4.517467681,9.143367799,NA,NA,0,0,0,0,0,1,NA,NA,NA
149,Brussels,uccle,1.743249224,106,1.281260078,0.983174683,1.001498217,0.993026161,0.133501643,1.280339606,3.230286033,10.30490357,0,0,0,0,0,0,1,1,80,8,4
152,Epanomi,thessaloniki/mikra,15.6750917,7,2.489985173,0.667487374,1.051439581,0.99269713,-1.308173762,2.28841113,-4.855241895,8.560290403,NA,NA,0,0,1,0,1,1,NA,NA,NA
157,Singapore,singapore/changi airport,23.81253041,293,7.277779067,0.875143683,1.156218662,0.998007749,-6.889783216,2.348569899,-13.33655471,4.018276044,NA,NA,0,0,0,0,0,1,17,8,4
160,Lahore,lahore city,1.142014974,36,4.285915202,0.872147742,1.130889329,0.988013053,-3.103754402,2.997560905,-11.04287651,8.785175159,NA,NA,0,0,1,0,0,1,80,8,4
161,Sodankyla,sodankyla,0.837615885,56,0.716445544,0.991178816,1.02168911,0.995842622,-0.16541074,0.703397939,-0.966465513,7.098976807,NA,NA,0,0,1,0,1,1,NA,NA,NA
165,OPAL,eureka ua: n.w.t.,0.821389198,342,0.78150614,0.978421173,0.991755217,0.994692008,0.133153531,0.771207528,2.906495633,8.33013283,NA,NA,0,0,0,0,0,1,80,8,4
170,Bucharest_Inoe,bucuresti/imh,18.76774252,377,2.166876557,0.974812273,0.97648614,0.990297107,0.254523645,2.154735965,1.302412142,10.63776037,NA,NA,0,0,0,0,1,1,NA,NA,NA
174,Chiang_Mai_Met_Sta,chiang mai,1.719216477,8,2.829519915,0.962683232,0.951705922,0.989914112,1.033353095,2.815947307,4.360948396,10.99099358,NA,NA,0,0,1,0,0,1,67,2,4
185,Gual_Pahari,new delhi/ safdarjung,18.01207302,145,7.24033064,0.857601829,1.121332653,0.941948896,-3.087790283,6.571588229,-6.476152449,30.05343667,NA,NA,0,0,0,0,0,1,90,2,5
187,Ragged_Point,grantley adams,12.1552852,173,5.148588218,0.783435932,0.968269193,0.981391877,0.830260987,5.095952868,3.379884416,14.9996284,NA,NA,1,0,0,0,0,1,51,2,0
188,Kirtland_AFB,albuquerque/int.:nm.,14.8632549,302,2.074869509,0.940938571,1.108009407,0.958578579,-0.512917886,2.013809149,3.353359482,36.18413303,NA,NA,0,0,0,0,0,1,87,8,5
197,Iqaluit,iqaluit (frobisher bay),0.438819961,181,1.056710569,0.977007144,0.994353432,0.992322954,0.164203201,1.046770406,4.58164251,11.86070885,NA,NA,0,0,0,0,0,1,80,8,4
199,Vishkhapatnam,cwc vishakhapatnam/ waltair,3.894433687,2,2.258915322,-1,0.965635186,0.999781157,2.083337418,1.234830864,3.572618191,2.166925757,NA,NA,0,0,1,0,0,1,NA,NA,NA
236,Baneasa,bucuresti/imh,4.565923487,62,1.212021072,0.985815794,1.016726227,0.996824329,-0.277483701,1.189461017,-0.378784765,6.070279946,NA,NA,0,0,1,0,1,1,NA,NA,NA
240,Ubon_Ratchathani,ubon ratchathani,0.656380383,16,8.112887965,0.765449532,1.124462346,0.972697497,-4.210369703,7.162252018,-6.984296667,16.1067701,NA,NA,0,0,1,0,0,1,37,2,5
241,IIT_KGP_EXT_Kolkata,calcutta/dum dum,9.025061215,3,8.032020899,0.982549103,1.159153794,0.99433301,-6.514116167,5.754952252,-11.29392339,10.00639525,NA,NA,0,0,1,0,0,1,20,2,0
244,Kuwait_Airport,kuwait international airport,2.966892691,13,2.641580551,0.950540673,0.91386206,0.987319226,1.593581411,2.192787406,11.60356418,16.98644328,NA,NA,0,0,1,0,0,1,80,8,4
249,Kelowna_UAS,kelowna: bc.,3.109959574,213,1.291140197,0.972861913,1.016102321,0.991184742,-0.215499875,1.276027886,-0.787864007,10.30788344,NA,NA,0,0,0,0,0,1,80,6,4
