,bigf,radiosonde,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global,rtype,tracksys,radcorr
1,camb,camborne,0.091957975,10887,1.96137898,0.969772901,1.04819246,0.989555765,-1.051923281,1.655510995,-8.029995321,11.99043621,0,0,0,0,0,1,0,0,80,8,4
2,camo,camborne,0.078876599,2145,2.07893332,0.972074835,1.069318656,0.989736333,-1.278902631,1.639397688,-9.237998238,11.09465293,0,0,0,0,0,1,0,0,80,8,4
3,iesg,nottingham: watnall,8.155219429,9907,1.609295365,0.973345136,0.987829051,0.990730177,-0.045872327,1.608722639,-1.414386581,12.0926966,0,0,0,0,0,1,0,0,81,8,4
4,leri,lerwick,0.13648265,2038,1.302508057,0.978264824,1.038917679,0.991811172,-0.660536745,1.122870033,-6.725778151,10.02264635,0,0,0,0,0,1,0,0,NA,NA,NA
5,lerw,lerwick,0.115123521,11104,1.658768499,0.973889812,1.056612605,0.990042662,-0.976064442,1.341258048,-8.711757919,12.21490168,0,0,0,0,0,1,0,0,NA,NA,NA
9,abep,aberporth,0.097090208,1618,1.685632596,0.969921021,0.960410197,0.990779293,0.584755836,1.58144351,4.794404431,10.4517283,0,0,0,0,0,1,0,0,80,8,4
15,benb,south uist range,12.88668881,30,1.433663165,0.951969655,1.003344123,0.989885676,-0.116473511,1.45335189,-0.580693418,9.203306191,0,0,0,0,1,1,0,0,NA,NA,NA
17,blap,woodvale,23.32669857,94,1.284307091,0.972835199,1.010799586,0.990601637,-0.346395352,1.243342558,-4.58460356,11.39747543,0,0,0,0,1,1,0,0,NA,NA,NA
24,east,herstmonceux: west end,12.58707236,2711,1.566796963,0.977755026,0.99660729,0.992150563,-0.128122468,1.561837748,-0.830739201,43.15375664,0,0,0,0,0,1,0,0,NA,NA,NA
27,gibr,gibraltar: north front,1.363837378,1314,2.702676368,0.969606089,0.912346747,0.992398146,1.979307772,1.841026815,12.58119504,27.30433913,0,0,0,0,0,0,1,1,80,8,4
31,hems,hemsby,0.227217903,3797,1.519778466,0.976224457,1.004604879,0.992736279,-0.258390026,1.497849143,-2.296284441,10.08238283,0,0,0,0,0,1,0,0,NA,NA,NA
32,hero,herstmonceux: west end,2.828976929,1612,1.717277322,0.974656102,0.995248629,0.990845585,-0.075708431,1.716140041,-0.433341243,15.37676883,0,0,0,0,0,1,0,0,81,8,4
33,keyw,nottingham: watnall,18.17980807,2932,1.58668919,0.973023596,0.992402286,0.990272628,-0.088716652,1.584477265,-1.451739923,12.57680918,0,0,0,0,0,1,0,0,81,8,4
37,lino,waddington,8.360270524,81,1.749309511,0.96950862,1.027756199,0.985002791,-0.791805863,1.569567243,-8.371211379,12.83980418,0,0,0,0,1,1,0,0,NA,NA,NA
39,lwtg,lerwick,2.874052457,4557,1.3273865,0.976208673,1.010387697,0.991402294,-0.325138288,1.287091117,-3.450607914,12.79477939,0,0,0,0,0,1,0,0,NA,NA,NA
44,ncas,albemarle,17.45941167,5945,2.149754021,0.969280638,0.913416805,0.990213282,1.38713504,1.642483643,11.37067919,16.73482324,0,0,0,0,0,1,0,0,81,8,4
