Station,Lat,Lon,Met_Station,GPS_Height,Met_Height,Distance,Region_Code,Combination,Combinations,GPS_Data_Span,Met_Span_Acceptable,Reason,End Result,
ABBS,55.8989,357.8714,_268_WMO_03158_,11.3945,112,26.5084,8,yes,abbs sabb,2005 to 2008,yes,,,
ABEA,52.789,355.259,_1161_WMO_03405_,92.1477,95,0.066,8,,,2006 to 2009,yes,,,
ABED,57.1344,357.8436,_161_WMO_03091_,76.9299,65,8.3689,8,yes,abed abee adee,2005 to 2006,yes,,,
ABEE,57.1335,357.8412,_161_WMO_03091_,100.2425,65,8.4161,8,yes,abed abee adee,2007 to 2008,yes,,,
ABEP,52.1394,355.4287,_1198_WMO_03502_,134.4059,133,0.0954,8,,,2005 to present,yes,,,
ABER,57.144,357.9198,_161_WMO_03091_,3.1597,65,10.0865,8,,No more special cluster,,yes,,,
ABYW,52.4241,355.9956,_1209_WMO_03503_,44.5997,63,9.7412,8,,No more special cluster,,yes,,,
ADAR,52.7892,355.2587,_1161_WMO_03405_,94.1733,95,0.1013,8,,,2009 to present ,yes,,,
ADE1,-34.729,138.6473,_20557_WMO_95676_,38.8755,20,4.2586,5,,,2000 to present,yes,,,
ADEE,57.1335,357.8412,_161_WMO_03091_,100.2048,65,8.416,8,yes,abed abee adee,2009 to present ,yes,,,
ALBH,48.3898,236.5125,_23242_WMO_71799_,50.7291,20,29.2485,4,,,1997 to present,yes,"adequate data span 1997 - 2012, measurements every 6hrs",,
ALDB,52.1532,1.6028,_440_WMO_03590_,12.0784,89,44.1121,8,yes,aldb alde,2006 to present,yes,,,
ALDB,52.1532,1.6028,_504_WMO_03696_,12.0784,5,39.9673,8,yes,aldb alde,2006 to present,,inadequate data span,,
ALDE,52.1532,1.6029,_440_WMO_03590_,9.6945,89,44.1152,8,yes,aldb alde,2004 to 2006,yes,,,
ALDE,52.1532,1.6029,_504_WMO_03696_,9.6945,5,39.968,8,yes,aldb alde,2004 to 2006,,inadequate data span,,
ALIC,-23.6701,133.8855,_17971_WMO_94326_,587.9384,547,14.4626,5,,,1997 to present,yes,,,
ALRT,82.4943,297.6595,_55636_WMO_71355_,58.5137,65,0.6445,4,,,2003 to present,yes,,,
AMBE,54.4342,357.0353,_1083_WMO_03225_,58.1085,252,19.6974,8,yes,ambl ambe,2009 to present ,yes,,,
AMBL,54.4342,357.0353,_1083_WMO_03225_,58.1156,252,19.6974,8,yes,ambl ambe,2004 to 2008,yes,,,
AMER,51.6772,359.4407,_620_WMO_03674_,87.4223,139,2.2568,8,,,,,,,
AMER,51.6772,359.4407,_17176_WMO_03660_,87.4223,204,16.9839,8,,,2004 to present,yes,,,
ANGX,51.6893,354.9208,_1215_WMO_03604_,19.6407,44,2.8214,8,yes,angx anlx,2005 to 2008,yes,,,
ANLX,51.6893,354.9208,_1215_WMO_03604_,19.8898,44,2.8213,8,yes,angx anlx,2009 to present ,yes,,,
ANTC,-37.3387,288.468,_24177_WMO_85672_,721.991,124,114.8312,3,,,,,,,
AOML,25.7347,279.8378,_17802_WMO_72202_,27.9572,5,22.2086,4,,,1998 to 2004,yes,"adequate data span 1997 - 2012, measurements every 3hrs",,
APPL,51.0569,355.8003,_1346_WMO_03707_,15.5084,6,5.0813,8,,,2005 to present,yes,,,
ARDL,51.9158,0.9619,_501_WMO_03695_,46.1957,8,18.8816,8,,,,,,,
ARDL,51.9158,0.9619,_440_WMO_03590_,46.1957,89,23.1178,8,,,2009 to present ,yes,,,
ARIS,56.9096,354.1505,_19172_WMO_03037_,5.8964,18,38.7959,8,,,2009 to present ,yes,,,
ARTU,56.4298,58.5605,_21366_WMO_28434_,254.3678,206,53.6513,2,,,,,,,
ASAP,53.2513,356.5199,_1137_WMO_03313_,49.725,77,2.0184,8,,,2005 to present,yes,,,
ASC1,-7.9512,345.5879,_1603_WMO_61902_,91.5834,75,2.2048,8,,,1997 to 2008,yes,,,
ASPA,-14.3261,189.2776,_17935_WMO_91765_,22.4481,3,0.9667,5,,,2001 to present,yes,,,
ATHL,53.4322,352.0924,_17096_WMO_03965_,57.1771,70,7.7357,6,,,2007 to 2009,yes,,,
ATTL,52.5168,0.9881,_408_WMO_03492_,36.1232,35,24.2886,8,,,2007 to 2009,NO,,"The met series has an adequate data span, it is the GPS time series that is short.",
ATTL,52.5168,0.9881,_409_WMO_03482_,36.1232,21,32.122,8,,,2006 to present,yes,,,
AUCK,-36.6028,174.8344,_19777_WMO_93110_,98.1015,7,44.3235,5,,,1997 to present,yes,,,
BAKE,64.3178,263.9977,_55637_WMO_71356_,46.6997,51,0.1454,4,,,2006 to present,yes,,,
BAN2,13.0343,77.5116,_17470_WMO_43295_,918.0005,921,10.7767,2,,,,,,,
BAN2,13.0343,77.5116,_19645_WMO_43233_,918.0005,724,177.283,2,,,,,,,
BARK,51.5154,0.0969,_18929_ICAO_EGLC_,58.4096,2,1.5804,8,,,,,,,
BARK,51.5154,0.0969,_19144_WMO_03779_,58.4096,43,14.4088,8,,,1997 to present,NO,inadequate data span (1997 to 2010),,
BARK,51.5154,0.0969,_16588_WMO_03784_,58.4096,3,16.0372,8,,,1997 to present,yes,,,
BARR,56.9544,352.4995,_82_WMO_03035_,12.6338,3,8.5244,8,,,2007 to present,NO,inadequate data span,,
BARR,56.9544,352.4995,_18903_WMO_03023_,12.6338,4,45.4638,8,,,2007 to present,yes,,,
BAYF,51.775,359.9051,19144_WMO_03779,70.8269,,,8,,,2013 to present,,inadequate data span (1997 to 2010),,
BAYF,51.775,359.9051,_709_WMO_03672_,70.8269,33,33.5792,8,,,2013 to present,yes,,,
BEES,54.491,356.3934,_1055_WMO_03210_,12.8092,124,3.0056,8,,,2005 to present,yes,,,
BELF,54.5772,354.0681,_1450_WMO_03917_,25.9684,63,21.1636,8,,,2004 to present,yes,,,
BELF,54.5772,354.0681,_1521_WMO_03927_,25.9684,11,19.5561,8,,,2004 to present,NO,inadequate data span (1997 to 2007),,
BENB,57.4731,352.6359,_18909_ICAO_EGPL_,9.6711,6,1.1839,8,,,,,,,
BENB,57.4731,352.6359,_18903_WMO_03023_,9.6711,4,12.8865,8,,,2007 to present,yes,,,
BHR2,26.2091,50.6081,_18074_WMO_41150_,10.5532,2,7.6789,2,,,2006 to 2009,yes,,,
BJFS,39.6086,115.8925,_17596_WMO_54511_,98.4055,55,49.205,2,,,1999 to present,yes,,,
BLAK,53.7769,356.965,_1090_ICAO_EGNH_,13.4853,10,0.3612,8,,,1999 to present,NO,,,
BLAK,53.7769,356.965,_17309_WMO_03316_,13.4853,9,31.1965,8,yes,blak blap,2002 to 2008,yes,,,
BLAP,53.7769,356.965,_1090_ICAO_EGNH_,13.523,10,0.361,8,,,,,,,
BLAP,53.7769,356.965,_17309_WMO_03316_,13.523,9,31.1963,8,yes,blak blap,2009 to present,yes,,,
SO NEW WE DON'T HAVE COORDINATES YET,,,,,,,,,,330 2010 to 017 2011,,,,
BOGT,4.6401,285.9191,_17892_WMO_80222_,2554.8983,2548,11.4925,3,,,,,,,
BOGT,4.6401,285.9191,_23273_WMO_80234_,2554.8983,423,73.6634,3,,,,,,,
