X,Y,Name,Description
-4.56999,52.1391,,"<table> <tr><td><b>src_id:</b><td>1198 <tr><td><b>Name:</b><td>ABERPORTH <tr><td><b>Area:</b><td>DYFED <tr><td><b>Start date:</b><td>01-01-1941 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>SA43 1 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1198"">Station details</a></center>"
-3.933,5.25,,"<table> <tr><td><b>src_id:</b><td>17716 <tr><td><b>Name:</b><td>ABIDJAN <tr><td><b>Area:</b><td>COTE D'IVOIRE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17716"">Station details</a></center>"
54.65,24.433,,"<table> <tr><td><b>src_id:</b><td>17428 <tr><td><b>Name:</b><td>ABU DHABI INTER. AIRPORT <tr><td><b>Area:</b><td>UNITED ARAB EMIRATES <tr><td><b>Start date:</b><td>01-10-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17428"">Station details</a></center>"
45.033,12.833,,"<table> <tr><td><b>src_id:</b><td>1592 <tr><td><b>Name:</b><td>ADEN <tr><td><b>Area:</b><td>YEMEN <tr><td><b>Start date:</b><td>01-01-1949 <tr><td><b>End date:</b><td>31-10-1993 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1592"">Station details</a></center>"
32.983,34.583,,"<table> <tr><td><b>src_id:</b><td>1588 <tr><td><b>Name:</b><td>AKROTIRI: CYPRUS <tr><td><b>Area:</b><td>CYPRUS <tr><td><b>Start date:</b><td>01-01-1956 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1588"">Station details</a></center>"
-73.8,42.75,,"<table> <tr><td><b>src_id:</b><td>17843 <tr><td><b>Name:</b><td>ALBANY/ALBANY CO.: NY. <tr><td><b>Area:</b><td>UNITED STATES OF AMERICA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17843"">Station details</a></center>"
-6.22436,54.6636,,"<table> <tr><td><b>src_id:</b><td>1450 <tr><td><b>Name:</b><td>ALDERGROVE <tr><td><b>Area:</b><td>ANTRIM <tr><td><b>Start date:</b><td>01-01-1926 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>BT29 4 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1450"">Station details</a></center>"
0,-90,,"<table> <tr><td><b>src_id:</b><td>18807 <tr><td><b>Name:</b><td>AMUNDSEN-SCOTT <tr><td><b>Area:</b><td>ANTARCTICA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18807"">Station details</a></center>"
50.25,-14.883,,"<table> <tr><td><b>src_id:</b><td>18447 <tr><td><b>Name:</b><td>ANTALAHA <tr><td><b>Area:</b><td>MADAGASCAR <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18447"">Station details</a></center>"
-64.267,-65.25,,"<table> <tr><td><b>src_id:</b><td>1615 <tr><td><b>Name:</b><td>ARGENTINE IS: ANTARCTICA <tr><td><b>Area:</b><td>ANTARCTICA <tr><td><b>Start date:</b><td>01-01-1947 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1615"">Station details</a></center>"
33.4,35.15,,"<table> <tr><td><b>src_id:</b><td>17385 <tr><td><b>Name:</b><td>ATHALASSA <tr><td><b>Area:</b><td>CYPRUS <tr><td><b>Start date:</b><td>01-01-1990 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17385"">Station details</a></center>"
23.733,37.9,,"<table> <tr><td><b>src_id:</b><td>17325 <tr><td><b>Name:</b><td>ATHENS(HELLINIKON) <tr><td><b>Area:</b><td>GREECE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17325"">Station details</a></center>"
44.233,33.233,,"<table> <tr><td><b>src_id:</b><td>17259 <tr><td><b>Name:</b><td>BAGHDAD <tr><td><b>Area:</b><td>IRAQ <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>30-06-1994 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17259"">Station details</a></center>"
95.417,5.517,,"<table> <tr><td><b>src_id:</b><td>18005 <tr><td><b>Name:</b><td>BANDA ACEH/ BLANGBINTANG <tr><td><b>Area:</b><td>INDONESIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18005"">Station details</a></center>"
-48.483,-1.383,,"<table> <tr><td><b>src_id:</b><td>19925 <tr><td><b>Name:</b><td>BELEM (AEROPORTO) <tr><td><b>Area:</b><td>BRAZIL <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=19925"">Station details</a></center>"
-88.3,17.533,,"<table> <tr><td><b>src_id:</b><td>17884 <tr><td><b>Name:</b><td>BELIZE/PHILLIP GOLDSTON INTL. AI <tr><td><b>Area:</b><td>BELIZE <tr><td><b>Start date:</b><td>01-01-1977 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17884"">Station details</a></center>"
102.333,-3.883,,"<table> <tr><td><b>src_id:</b><td>18016 <tr><td><b>Name:</b><td>BENGKULU/ PADANGKEMILING <tr><td><b>Area:</b><td>INDONESIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18016"">Station details</a></center>"
9.933,52.817,,"<table> <tr><td><b>src_id:</b><td>19942 <tr><td><b>Name:</b><td>BERGEN <tr><td><b>Area:</b><td>GERMANY <tr><td><b>Start date:</b><td>01-08-1993 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=19942"">Station details</a></center>"
-64.683,32.367,,"<table> <tr><td><b>src_id:</b><td>17879 <tr><td><b>Name:</b><td>BERMUDA NAVAL AIR STATION KINDLEY <tr><td><b>Area:</b><td>BERMUDA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17879"">Station details</a></center>"
34.817,32.0,,"<table> <tr><td><b>src_id:</b><td>17418 <tr><td><b>Name:</b><td>BET DAGAN <tr><td><b>Area:</b><td>ISRAEL <tr><td><b>Start date:</b><td>01-01-1971 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17418"">Station details</a></center>"
72.85,19.117,,"<table> <tr><td><b>src_id:</b><td>17461 <tr><td><b>Name:</b><td>BOMBAY / SANTACRUZ <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17461"">Station details</a></center>"
-5.667,-15.933,,"<table> <tr><td><b>src_id:</b><td>1605 <tr><td><b>Name:</b><td>BOTTOMS WOOD: ST HELENA <tr><td><b>Area:</b><td>ST HELENA <tr><td><b>Start date:</b><td>01-01-1958 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1605"">Station details</a></center>"
-1.59966,55.4208,,"<table> <tr><td><b>src_id:</b><td>315 <tr><td><b>Name:</b><td>BOULMER <tr><td><b>Area:</b><td>NORTHUMBERLAND <tr><td><b>Start date:</b><td>01-01-1975 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>NE66 3 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=315"">Station details</a></center>"
2.366,47.066,,"<table> <tr><td><b>src_id:</b><td>17133 <tr><td><b>Name:</b><td>BOURGES <tr><td><b>Area:</b><td>FRANCE <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17133"">Station details</a></center>"
114.933,4.933,,"<table> <tr><td><b>src_id:</b><td>18018 <tr><td><b>Name:</b><td>BRUNEI AIRPORT <tr><td><b>Area:</b><td>BRUNEI DARUSSALAM <tr><td><b>Start date:</b><td>01-01-1980 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18018"">Station details</a></center>"
26.133,44.5,,"<table> <tr><td><b>src_id:</b><td>17380 <tr><td><b>Name:</b><td>BUCURESTI/IMH <tr><td><b>Area:</b><td>ROMANIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17380"">Station details</a></center>"
88.45,22.65,,"<table> <tr><td><b>src_id:</b><td>17457 <tr><td><b>Name:</b><td>CALCUTTA/DUM DUM <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17457"">Station details</a></center>"
-5.32656,50.2178,,"<table> <tr><td><b>src_id:</b><td>1395 <tr><td><b>Name:</b><td>CAMBORNE <tr><td><b>Area:</b><td>CORNWALL <tr><td><b>Start date:</b><td>01-01-1978 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>TR14 0 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1395"">Station details</a></center>"
-3.99997,52.4169,,"<table> <tr><td><b>src_id:</b><td>23546 <tr><td><b>Name:</b><td>CAPEL DEWI <tr><td><b>Area:</b><td>DYFED <tr><td><b>Start date:</b><td>01-01-1850 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>SY23 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=23546"">Station details</a></center>"
18.6,-33.983,,"<table> <tr><td><b>src_id:</b><td>18478 <tr><td><b>Name:</b><td>CAPE TOWN (D.F. MALAN) <tr><td><b>Area:</b><td>SOUTH AFRICA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18478"">Station details</a></center>"
-7.667,33.567,,"<table> <tr><td><b>src_id:</b><td>18194 <tr><td><b>Name:</b><td>CASABLANCA <tr><td><b>Area:</b><td>MOROCCO <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18194"">Station details</a></center>"
-6.34037,54.503,,"<table> <tr><td><b>src_id:</b><td>30543 <tr><td><b>Name:</b><td>CASTOR BAY <tr><td><b>Area:</b><td>DOWN <tr><td><b>Start date:</b><td>20-06-2002 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=30543"">Station details</a></center>"
-80.033,32.9,,"<table> <tr><td><b>src_id:</b><td>17804 <tr><td><b>Name:</b><td>CHARLESTON/MUN.:SC. <tr><td><b>Area:</b><td>UNITED STATES OF AMERICA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17804"">Station details</a></center>"
71.833,35.85,,"<table> <tr><td><b>src_id:</b><td>23639 <tr><td><b>Name:</b><td>CHITRAL <tr><td><b>Area:</b><td>PAKISTAN <tr><td><b>Start date:</b><td>01-01-1850 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=23639"">Station details</a></center>"
109.017,-7.733,,"<table> <tr><td><b>src_id:</b><td>18056 <tr><td><b>Name:</b><td>CILACAP <tr><td><b>Area:</b><td>INDONESIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18056"">Station details</a></center>"
23.566,46.783,,"<table> <tr><td><b>src_id:</b><td>16953 <tr><td><b>Name:</b><td>CLUJ-NAPOCA <tr><td><b>Area:</b><td>ROMANIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16953"">Station details</a></center>"
79.867,6.9,,"<table> <tr><td><b>src_id:</b><td>17479 <tr><td><b>Name:</b><td>COLOMBO <tr><td><b>Area:</b><td>SRI LANKA <tr><td><b>Start date:</b><td>01-01-1870 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17479"">Station details</a></center>"
-67.5,-45.783,,"<table> <tr><td><b>src_id:</b><td>17912 <tr><td><b>Name:</b><td>COMODORO RIVADAVIA AERO <tr><td><b>Area:</b><td>ARGENTINA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17912"">Station details</a></center>"
28.633,44.217,,"<table> <tr><td><b>src_id:</b><td>17381 <tr><td><b>Name:</b><td>CONSTANTA <tr><td><b>Area:</b><td>ROMANIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17381"">Station details</a></center>"
2.383,6.35,,"<table> <tr><td><b>src_id:</b><td>18414 <tr><td><b>Name:</b><td>COTONOU <tr><td><b>Area:</b><td>BENIN <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18414"">Station details</a></center>"
-17.5,14.733,,"<table> <tr><td><b>src_id:</b><td>17690 <tr><td><b>Name:</b><td>DAKAR/YOFF <tr><td><b>Area:</b><td>SENEGAL <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17690"">Station details</a></center>"
3.25,36.717,,"<table> <tr><td><b>src_id:</b><td>17661 <tr><td><b>Name:</b><td>DAR-EL-BEIDA <tr><td><b>Area:</b><td>ALGERIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17661"">Station details</a></center>"
115.167,-8.75,,"<table> <tr><td><b>src_id:</b><td>18038 <tr><td><b>Name:</b><td>DENPASAR/NGURAH-RAI <tr><td><b>Area:</b><td>INDONESIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18038"">Station details</a></center>"
