X,Y,Name,Description
-4.56999,52.1391,,"<table> <tr><td><b>src_id:</b><td>1198 <tr><td><b>Name:</b><td>ABERPORTH <tr><td><b>Area:</b><td>DYFED <tr><td><b>Start date:</b><td>01-01-1941 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>SA43 1 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1198"">Station details</a></center>"
54.65,24.433,,"<table> <tr><td><b>src_id:</b><td>17428 <tr><td><b>Name:</b><td>ABU DHABI INTER. AIRPORT <tr><td><b>Area:</b><td>UNITED ARAB EMIRATES <tr><td><b>Start date:</b><td>01-10-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17428"">Station details</a></center>"
45.033,12.833,,"<table> <tr><td><b>src_id:</b><td>1592 <tr><td><b>Name:</b><td>ADEN <tr><td><b>Area:</b><td>YEMEN <tr><td><b>Start date:</b><td>01-01-1949 <tr><td><b>End date:</b><td>31-10-1993 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1592"">Station details</a></center>"
91.25,23.883,,"<table> <tr><td><b>src_id:</b><td>17456 <tr><td><b>Name:</b><td>AGARTALA <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17456"">Station details</a></center>"
72.633,23.067,,"<table> <tr><td><b>src_id:</b><td>17454 <tr><td><b>Name:</b><td>AHMADABAD <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17454"">Station details</a></center>"
8.799,41.916,,"<table> <tr><td><b>src_id:</b><td>17143 <tr><td><b>Name:</b><td>AJACCIO <tr><td><b>Area:</b><td>FRANCE <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17143"">Station details</a></center>"
138.149,56.449,,"<table> <tr><td><b>src_id:</b><td>17051 <tr><td><b>Name:</b><td>AJAN <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17051"">Station details</a></center>"
140.1,39.717,,"<table> <tr><td><b>src_id:</b><td>17494 <tr><td><b>Name:</b><td>AKITA <tr><td><b>Area:</b><td>JAPAN <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17494"">Station details</a></center>"
125.366,58.616,,"<table> <tr><td><b>src_id:</b><td>17049 <tr><td><b>Name:</b><td>ALDAN <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17049"">Station details</a></center>"
-6.22436,54.6636,,"<table> <tr><td><b>src_id:</b><td>1450 <tr><td><b>Name:</b><td>ALDERGROVE <tr><td><b>Area:</b><td>ANTRIM <tr><td><b>Start date:</b><td>01-01-1926 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>BT29 4 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1450"">Station details</a></center>"
77.867,60.433,,"<table> <tr><td><b>src_id:</b><td>17396 <tr><td><b>Name:</b><td>ALEKSANDROVSKOE <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17396"">Station details</a></center>"
142.167,50.9,,"<table> <tr><td><b>src_id:</b><td>17543 <tr><td><b>Name:</b><td>ALEKSANDROVSK- SAHALINSKIJ <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17543"">Station details</a></center>"
37.216,36.333,,"<table> <tr><td><b>src_id:</b><td>17226 <tr><td><b>Name:</b><td>ALEPPO <tr><td><b>Area:</b><td>SYRIAN ARAB REPUBLIC <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17226"">Station details</a></center>"
